0 -407.50892563544664 0.0 765.342158465352, 1 -435.3175681858536 -126.74028875469246 767.4974133009091, 2 -475.8276462840573 -103.45664079807308 400.64707260316993, 3 -627.3324455802481 -62.059742554447155 44.11233529759886, 6 -377.0352882910139 126.73933441138549 763.3949654338145, 7 -404.17493422773464 130.0354278950233 368.7060128791285, 8 -444.3595482701243 132.67250266373836 0.42677880284725234, 12 -492.67581077188765 6.9361281271737525 1067.0071169329744, 13 -468.239726145502 1.6442584637269277 1310.56809952712, 14 -374.6139069590864 -30.15028732748543 1370.3758653749273, 15 -374.81808627617727 -45.239673259955715 1499.0093309981808, 17 -424.6106815459705 134.2279890491746 1278.424474158824, 18 -299.9785818425912 266.8542693596404 1033.8489200767297, 19 -298.15753022460905 240.85217552538361 834.0333934764321, 25 -478.89922316874987 -131.2969784605146 1243.7817303510312, 26 -303.6002632707328 -278.85680334976064 1033.0873602918193, 27 -81.38837970021703 -250.25397196014976 1015.675948685313, 
0 -404.39651757932813 0.0 765.3942526141703, 1 -429.5478809465992 -124.41343550680045 767.4651723918007, 2 -475.3192155577606 -106.46074346341267 401.0935905799206, 3 -627.3094357792093 -61.979452924973884 44.19810929301627, 6 -376.82269732501686 124.41247661115922 763.5265474843466, 7 -397.4137974129669 127.45323756292035 369.094814432749, 8 -444.3016727270669 131.91193192379194 0.6340990657655539, 12 -477.4129581038206 9.61496122307478 1067.7324928344333, 13 -447.6205875545109 4.55697435643809 1310.799885839036, 14 -354.7130230688835 -30.637230971205064 1368.6313854703997, 15 -352.95178941335496 -45.04904068996555 1497.970606071553, 17 -398.1184078127168 136.7950923468968 1272.0107611946298, 18 -300.1977305043923 269.97140991509764 1033.957661025295, 19 -297.98113167633954 238.34316571897364 847.729192538711, 25 -479.17855834459806 -129.04041844424341 1244.0781503772178, 26 -284.70818304047583 -292.59646488280674 1038.8624077007782, 27 -69.2212131805086 -260.4981610193088 1039.639837659713, 
0 -404.39651757932813 0.0 765.4103121022129, 1 -429.6177307501836 -123.78321714858689 767.5051460206732, 2 -475.0866268950813 -107.73357872291562 401.2867200112022, 3 -627.1294770057458 -62.700622818389036 44.42246699406735, 6 -376.7651176144468 123.78225322397756 763.5143902449452, 7 -397.31011561362396 127.12033346243908 369.14649687589815, 8 -444.30300842899544 131.57505441887392 0.7163161760687444, 12 -471.5851796416093 10.057776843769439 1067.83888475704, 13 -440.5354692544568 5.477727718990181 1310.8079845227187, 14 -348.44642720798754 -31.03851503786872 1367.8589637858029, 15 -346.58163341712395 -45.1128307380104 1497.3341538282607, 17 -391.3708091033769 137.639254181389 1271.9799297284226, 18 -300.2790780384379 271.12848609971235 1033.9909658234187, 19 -297.96788765684107 240.54748068288777 847.6906123826216, 25 -479.196834083523 -128.8927811064083 1244.0961294929748, 26 -283.88229447231777 -301.997885955957 1044.2956429749975, 27 -68.88018923309703 -275.09610192322316 1045.3709123445456, 
0 -404.3915588835405 0.0 765.4164541986797, 1 -429.4712278099946 -125.1050367916125 767.567970353661, 2 -468.5589930437415 -112.59762555810478 401.98393591239414, 3 -621.4173998364739 -60.87336786285593 44.087514860507895, 6 -376.87565350131143 125.10403745705926 763.4659752249339, 7 -396.98739437866135 126.3185380736932 369.2623223313833, 8 -444.81914461099956 136.37460637732488 -0.3613955803236877, 12 -481.2570310790126 9.921423430298958 1067.2215836023263, 13 -440.60201404753496 7.568905954489111 1310.9089827505143, 14 -351.48359403788095 -30.611054863166636 1364.0138615092337, 15 -345.9134518928772 -42.95996719821571 1494.2217150866204, 17 -391.8233896094472 142.42401284002165 1272.2813711546496, 18 -391.5084156851716 287.0512813138346 999.6704592617741, 19 -292.98747862547697 262.2609555007171 854.6112894577374, 25 -478.97487493016376 -129.6780974703762 1244.0393078088327, 26 -260.0459273644057 -300.22900919599374 1044.4892122977324, 27 -56.79953449207725 -266.65294993609075 1051.5603008340108, 
0 -404.37833569477306 0.0 765.453791409562, 1 -429.5139177654594 -124.4019800559377 767.578464900567, 2 -468.29758100289547 -113.35401716587195 402.1537405949896, 3 -620.9953788145591 -63.13604339322879 44.68472911602112, 6 -376.82164507160496 124.4009594516788 763.5288208123266, 7 -396.7036976612044 124.6807465455343 369.5270106242042, 8 -444.55887742478575 133.9543810048997 0.19846028766369272, 12 -481.49631697781916 10.575846017243826 1060.789451531285, 13 -440.8292408764138 9.922043998429274 1304.2451717152153, 14 -351.3373643210809 -28.42533098140744 1356.9018313488664, 15 -345.47469980488165 -40.73662489533679 1487.2163663177284, 17 -391.9786976815994 144.06595639043735 1265.7606041382385, 18 -391.49278146869443 286.8800852805037 999.7722410981268, 19 -293.1349466902237 264.40626006288494 854.6121094396344, 25 -478.98550796987286 -128.32526868982507 1244.1084220863004, 26 -253.41086937913107 -310.7775753708986 1050.202216615692, 27 -32.693736466675354 -285.862669019413 1051.2801284640896, 
0 -404.3816414919652 0.0 762.3291336064481, 1 -429.4604298066801 -124.7690196086388 767.6348472894626, 2 -468.7720541511661 -108.45518234729946 401.4985884049066, 3 -621.4862578370652 -59.0949134840767 43.87462025521904, 6 -376.8756404356872 124.76808331902305 757.0262441647428, 7 -397.10598794492165 129.85716301724267 368.84588191585453, 8 -444.8093009270213 136.28306992945858 -0.2867858665024414, 12 -475.33930886623517 7.5741129261082705 1060.6020308401735, 13 -440.0823150161798 3.528061809274618 1303.818991250545, 14 -349.56086063416365 -32.40972778237418 1358.2988070876604, 15 -347.0747444686224 -44.36315426060838 1488.799148322372, 17 -391.5150167103634 139.16384171203651 1265.4085296082678, 18 -391.13783666797957 282.99340877053066 999.6893309460254, 19 -293.3209119164577 267.1116054468466 854.60253345226, 25 -465.73847398553767 -136.1305439442884 1231.050428738936, 26 -246.48171322231698 -323.49472691603086 1050.0025487575972, 27 -20.634205396315547 -307.1590910182813 1056.290040202445, 
0 -407.46099157616493 0.0 762.3564458769197, 1 -429.50406708489334 -124.05730779826149 767.6316399520714, 2 -469.66367072811425 -100.35773925098904 400.4182734900171, 3 -616.2690211761368 -52.478872390687314 42.46987986075294, 6 -383.19781655073916 124.05643860867262 757.0840572859623, 7 -397.3758932965536 132.69966847880715 368.48433801965746, 8 -444.6912615353804 135.37610728817168 -0.027312270471611555, 12 -469.11122554927 5.453838167299615 1053.154738322846, 13 -439.26521763542166 -1.005389347067478 1296.2872722025882, 14 -347.83661215179126 -33.74869986097554 1351.4837422440162, 15 -347.98625652390035 -45.09791685682903 1480.900692357695, 17 -397.7621189403753 134.40660205523386 1265.0547305485331, 18 -390.5541773402027 276.60228825114837 999.6183410857539, 19 -292.89047044054155 262.74598256510114 861.5172109427591, 25 -458.8617524553983 -140.25336554194462 1218.355120068251, 26 -228.64158678632762 -323.46861656087316 1055.7247729517862, 27 -20.314730707675004 -301.42425165049406 1056.816280731662, 
0 -407.3998343281162 0.0 762.3837581473913, 1 -429.3440790287316 -124.4027068729336 767.6737636169325, 2 -469.9265436196483 -97.96088378266943 400.1177264295226, 3 -616.5809638907799 -50.16707190074948 41.978440458723185, 6 -383.2333226785106 124.40187893500058 757.0965641012926, 7 -397.5220869437453 134.22007886976067 368.259239986701, 8 -444.71084557709116 135.59001186471426 -0.044886924116667615, 12 -466.97570964059906 3.98664830837955 1052.857283909757, 13 -438.9924551491205 -2.9818423073101883 1296.1318156456819, 14 -346.8728044180061 -33.409771293839476 1353.0836908988017, 15 -348.3316078253554 -44.7734734087676 1482.2670393852513, 17 -404.3559733259034 132.54845374296718 1264.9331830965405, 18 -390.3173685812039 274.00921169641884 999.6057691215694, 19 -292.57869934610454 258.05479668709336 861.624114706169, 25 -452.52756286971845 -141.33350105066708 1218.1369841828957, 26 -205.42692213255035 -310.54936199794145 1056.470055436732, 27 -2.395548806020465 -269.49359866146716 1075.8487708824136, 
0 -404.2229632267568 0.0 762.4062016094497, 1 -423.15756065784404 -123.50734572137027 767.6578122247214, 2 -470.51208730460917 -93.09881673412055 399.4621855603283, 3 -617.1210715982896 -46.49782007337666 47.22678664814043, 6 -383.28644142757315 123.50651369930557 757.157382613459, 7 -397.3657832819806 132.87870305368227 368.4037176771526, 8 -443.87050395293636 127.8704271770572 1.7788124648986923, 12 -458.54197525961285 3.573407719945159 1045.7763452542792, 13 -432.69726002056 -2.774645343248636 1289.243277622079, 14 -340.0411523918932 -31.35658609389106 1347.0023106401495, 15 -342.7420715331159 -43.400465436321895 1476.0312350037311, 17 -410.85977798802924 131.8028303314697 1264.8958932782327, 18 -390.1123296489842 271.7640175144412 999.5936791444052, 19 -292.87289449734914 262.3363765755788 861.5739161232689, 25 -446.0562294967496 -141.78234753149064 1218.0976633012845, 26 -199.1089814710247 -320.01912246932494 1056.3329193294326, 27 21.55800129973086 -291.0441705910081 1087.106690350337, 
0 -404.19651684922195 0.0 765.6385741447857, 1 -423.0781866578011 -122.91357741228003 767.7060611747911, 2 -470.9871974403358 -89.07322024530723 398.91134005693914, 3 -617.3547893914897 -44.791128913546146 46.89588485872514, 6 -383.33006820948924 122.91279391722674 763.7678834716105, 7 -397.5676283814725 134.72924693513863 368.1729584012779, 8 -443.7306085208901 126.72802403881556 2.0899157219311064, 12 -454.80153548384635 2.0201670258491333 1045.392137963139, 13 -432.44484909786235 -5.063698747904908 1288.741637412056, 14 -340.32241671713655 -31.114765693449687 1348.4368552854594, 15 -345.808463041154 -43.08801292993429 1477.0426313934704, 17 -417.2837779447712 128.83847375899313 1264.8173476398906, 18 -396.6089195420033 266.8715281732929 985.7739889638303, 19 -292.8888516370945 262.722422399828 861.5898098632965, 25 -433.54935406948874 -143.8341415664683 1212.0540314461473, 26 -187.08641648163947 -321.04047392861384 1061.9553769468923, 27 27.22027979979677 -291.77906751776095 1098.6923710363537, 
