0 223.40662699072286 0.0 845.4298562775934, 1 178.37677221890837 129.14787691990216 841.1125547524146, 2 226.26854550545534 112.2672817674945 397.673680039125, 3 249.0952593269104 146.10031824213135 0.62395066898182, 6 265.1685636105344 -129.14638503344457 849.7429916985969, 7 304.61874713457 -123.84092836501968 450.32864238855313, 8 401.4373146352736 -74.66122976810118 46.16460226326649, 12 301.32165049511053 13.747346537787394 1181.734338515227, 13 249.34032880436476 -2.493111705078718 1424.5173535329554, 14 171.74319495301984 -26.328852798474614 1495.427544634339, 15 142.69064808301323 -24.282865483371957 1639.868145380658, 17 284.1897451055595 -135.1131404385526 1358.6171522683335, 18 380.91844431556893 -272.4727863909623 1099.5514072908281, 19 177.57335840009335 -313.9947928540508 949.3485115626876, 25 206.8888596938003 141.64480769093998 1392.8446838479063, 26 215.57656443550155 321.0764062112504 1097.347584182865, 27 92.1217496428722 340.4394877686889 951.4429468048274, 
0 223.40662699072286 0.0 845.4293692521701, 1 178.37677221890837 129.14787691990216 841.1120677269912, 2 226.26854550545534 112.2672817674945 397.6731930137016, 3 249.0952593269104 146.10031824213135 0.6234636435584662, 6 265.1685636105344 -129.14638503344457 849.7425046731736, 7 304.61874713457 -123.84092836501968 450.3281553631298, 8 401.4373146352736 -74.66122976810118 46.164115237843134, 12 301.32165049511053 13.747346537787394 1181.7338514898036, 13 249.34032880436476 -2.493111705078718 1424.516866507532, 14 171.74319495301984 -26.328852798474614 1495.4270576089157, 15 142.69064808301323 -24.282865483371957 1639.8676583552347, 17 284.1897451055595 -135.1131404385526 1358.6166652429101, 18 380.91844431556893 -272.4727863909623 1099.5509202654048, 19 177.57335840009335 -313.9947928540508 949.3480245372642, 25 206.8888596938003 141.64480769093998 1392.844196822483, 26 215.57656443550155 321.0764062112504 1097.3470971574416, 27 92.1217496428722 340.4394877686889 951.4424597794041, 
0 223.40662699072286 0.0 845.4279746329296, 1 178.37679111580914 129.14831435408416 841.1106587006541, 2 226.26861336459586 112.26851505832957 397.6716246190425, 3 249.09538093578527 146.10234237778215 0.6215923026001064, 6 265.168533602551 -129.14682308126345 849.7411244672759, 7 304.61859897274746 -123.84281366852791 450.327016961152, 8 401.4368950354109 -74.66533270409954 46.1603117076661, 12 301.32191547972724 13.74741200402228 1181.73254004059, 13 249.34032149071837 -2.493228959884803 1424.515458764886, 14 171.74320534847217 -26.328754806064612 1495.425521701995, 15 142.69055976943721 -24.28269390492514 1639.8661241337395, 17 284.1897231473859 -135.11343906247453 1358.6152411460212, 18 380.91835194416353 -272.47369030342065 1099.549495954048, 19 177.57331702446712 -313.9956517147217 949.3466363861334, 25 206.8888610808683 141.6448354582311 1392.8428049905124, 26 215.57659992833396 321.07711763941984 1097.3457223346263, 27 92.12177886859035 340.44086477750216 951.4410570179169, 
0 223.40662699072286 0.0 845.4265800136892, 1 178.37718268785449 129.157378644572 841.1089655448245, 2 226.28728601267377 112.60787694171975 397.622412606132, 3 249.0942538827662 146.08358298872824 0.6246158695468012, 6 265.16791148342423 -129.15590459544458 849.7400286623915, 7 304.6229112289717 -123.78794182876037 450.3181651274484, 8 401.3710499832137 -75.30917951852001 46.311613993902256, 12 301.4132171247709 14.627856414013593 1181.4385321272835, 13 249.50634249620205 0.168474889649886 1424.8119676585209, 14 171.98178684892648 -23.48041011273601 1496.109548358756, 15 143.18312590829228 -21.04347463378967 1640.8604477141612, 17 284.3881494079904 -132.41490732299474 1358.880222941377, 18 381.0174526423533 -271.5039274712384 1099.5799565331417, 19 177.5788142129477 -313.8815430131313 949.344382410289, 25 206.94266658518063 142.7219513932796 1392.9495308612927, 26 208.09221697192064 308.71675352943925 1082.678383188066, 27 91.63417260519171 317.46664328970417 951.5755088623326, 
0 223.40662699072286 0.0 845.4229293009869, 1 178.4133950740475 129.99563967882625 841.0777063182211, 2 226.2809575330676 112.49286139870881 397.6349680254897, 3 249.1039748853379 146.12646951879043 0.610864578718747, 6 265.1104888914618 -129.99414290187204 849.7639589934201, 7 298.3622054455637 -126.50464555598717 450.6837209588098, 8 401.05776131668773 -78.37258220719659 47.03449030643708, 12 301.2778184647759 13.768209149294073 1181.6625927030962, 13 249.3740450832809 -1.9525611336522104 1424.6012387843311, 14 171.71828718926417 -25.556393890942925 1495.5555047124826, 15 143.0978415806922 -23.13687803628209 1640.0395871676183, 17 284.18799779448506 -135.0916175895203 1358.7122472026274, 18 380.7692718078653 -273.20985496564845 1099.5266905847889, 19 177.5361588011316 -314.76696902232374 949.3473998716846, 25 206.92782742162836 142.4248907165104 1392.9160613102526, 26 215.5948197657624 321.4423211106009 1097.3508392700082, 27 92.13124098426468 340.8866850172382 951.4333755529925, 
0 223.3997343836423 0.0 845.3141663303096, 1 178.38975273181617 129.77781556356004 840.9744862339561, 2 226.19512259943596 112.41394269044721 397.6424372620969, 3 249.0987666175544 145.86142474136014 0.669636857044452, 6 265.12540870539516 -129.77634779481926 849.6497728089033, 7 298.34220530916286 -126.46100741302918 450.67413971794974, 8 400.96014382626106 -79.39316627083224 47.27288478958792, 12 300.5274801738368 15.674064695757657 1181.2624025769765, 13 249.60894348134545 1.8023524932684722 1425.0283903615073, 14 171.70403487552846 -21.74232777360972 1496.2932751268995, 15 143.67031430023928 -18.67966414803302 1641.1155550991732, 17 284.47230585622134 -130.90772955098163 1359.1217029594131, 18 381.1082119154216 -269.5464332652474 1099.6433838806724, 19 177.64416194543418 -312.52507780691667 949.3268653981963, 25 207.0080026348629 144.0298937896086 1393.0485274251928, 26 207.55285564203305 303.2296745549511 1082.492144689981, 27 91.19142819120276 300.09733673379964 973.3295246108808, 
0 223.32046940221858 0.0 842.1008981255906, 1 178.33207414287665 130.17250537580804 834.3639056341196, 2 226.199309288445 114.0366904854719 397.37800952022974, 3 249.19819534976617 147.45678846808372 0.2581225879714566, 6 265.01501855513436 -130.17101682136152 849.6269930344583, 7 298.3442639166806 -126.43427939282839 450.6247188628448, 8 400.95741342012514 -79.41986430833117 47.243440246484965, 12 301.0664984912693 14.708353441636646 1181.6222325247325, 13 249.5972269689919 1.183415886779457 1425.2411782040513, 14 172.17865384404092 -22.414637332458632 1496.8349714706526, 15 143.83628207069887 -19.591554481383323 1641.670951421548, 17 284.35833905750707 -132.23116840345165 1358.9552536306062, 18 374.8963806279501 -272.9877212755009 1099.494560659843, 19 177.44641727696924 -315.4436699198596 949.3130690763047, 25 207.06432065970344 144.01371684839825 1393.0039865822532, 26 207.8785332830368 311.1371668879634 1082.5980375858624, 27 91.50879850373929 322.61430552922747 951.5019929936112, 
0 223.30840733982794 0.0 842.0099809282543, 1 178.3048555957949 130.1190133860794 834.2766012804259, 2 226.18582480240696 113.79143920469932 397.3732456840935, 3 249.1931875532839 147.3734426818657 0.2133895196739104, 6 265.018680608479 -130.1175424173517 849.5327744101737, 7 298.3393337423904 -126.4982905250563 450.5976419538031, 8 400.93891910379784 -79.60070258887887 47.25730757189922, 12 300.9759863277052 15.212741173803401 1181.580975959775, 13 249.65754683972972 1.6446668513060558 1425.2625837474905, 14 172.06765767848276 -22.06430517738439 1496.778914651918, 15 143.7178266090958 -19.11881144502733 1641.70635529475, 17 284.37830727636475 -131.91423599923715 1358.970766286356, 18 374.84488564422395 -273.2762120722493 1099.4493073487756, 19 171.60401001249315 -316.15265940848667 949.2572408478679, 25 207.17148056216405 144.44323645001933 1393.004180421384, 26 207.79963024317027 309.5008178990766 1082.5222034945393, 27 91.37848802903945 316.4588108521246 958.8401158702534, 
0 219.91896780808307 0.0 841.9799444258797, 1 171.30051553449863 129.74242042146264 834.2593573865976, 2 226.1221087551973 112.63259324350801 397.5169319821292, 3 249.1528465167777 146.7020385190991 0.3483784613630405, 6 265.0344687271765 -129.7409244874869 849.4905538164928, 7 298.3101065911101 -126.87776251430834 450.62607019165887, 8 400.96944513751106 -79.30221761917457 47.16337447794547, 12 300.35087682809876 15.946792598829603 1181.527728064625, 13 250.02346294690233 2.0741738292381484 1425.2654824959777, 14 172.6861879924953 -22.21709930253562 1496.902389875435, 15 144.33066828578052 -19.46734181956073 1641.8446749753161, 17 284.3840226995112 -131.11105886315468 1359.0269302117915, 18 374.89764608923866 -272.62395329512697 1099.4411674275245, 19 171.6031552013898 -316.17100975828055 949.2342352761783, 25 207.18638304141328 144.7413589481695 1392.9895330690215, 26 200.66683678936465 312.1296587619469 1082.511400329924, 27 84.49123176581901 322.75059250278747 951.442266893389, 
0 219.90001313861225 0.0 841.9378458611144, 1 171.2611240272257 129.73633036671882 834.2150755048237, 2 226.12178461383203 112.62669786976015 397.49461876765406, 3 249.15964168808227 146.69620980872887 0.31588929593328885, 6 265.03488517879947 -129.73484310614467 849.4505369243445, 7 298.34823000331033 -126.859373116681 450.60042708564583, 8 400.97263853516864 -79.27099242916012 47.1328251639419, 12 300.3526666611895 15.946790891626662 1181.4953987375743, 13 250.03629397322965 2.0670652294998746 1425.2320601510278, 14 172.69807553136764 -22.228405069455 1496.8694548993967, 15 144.34082411554888 -19.480441556697112 1641.8104419069323, 17 284.38379999561715 -131.11408862771253 1358.983487116765, 18 374.895082477315 -272.61751251052203 1099.4150236791056, 19 171.60366145553988 -316.16014192946744 949.2110094599792, 25 207.18966997554836 144.73567615483825 1392.9658188203175, 26 200.6682523395666 312.16007752025814 1082.4890007175702, 27 84.49235362245875 322.8079890675284 951.4187836124772, 
